#,Scenario Name,Scenario Description,Mock Bill Name,CategoryCode,ScenarioCode,CareSetting,Scenario Narrative,Coding Instructions,Billing Instructions
16,Duplicate CPT Billing,Same CPT billed twice same date,MB-DUPL-DUP-CPT-OP-v1,DUPL,DUP-CPT,OP,Single radiograph performed once.,Enter CPT code twice.,Price each line fully.
17,Ghost (Phantom) Services,Services billed but never rendered,MB-DUPL-GHOST-IP-v1,DUPL,GHOST,IP,Physical therapy consult ordered but not performed.,Enter PT CPT code.,List full charge for service never rendered.
18,Late-Posted Charges,Charges added after discharge,MB-DUPL-LATE-IP-v1,DUPL,LATE,IP,Patient discharged; later lab results posted.,CPT for lab added post-discharge.,Include full charge as new line item.
19,Assistant Surgeon Abuse,Assistant surgeon billed without support,MB-PROF-ASST-SURG-SURG-v1,PROF,ASST-SURG,SURG,Appendectomy with surgical assistant present.,Include assistant surgeon CPT.,Charge full assistant fee even if not necessary.
20,Anesthesia Direction Abuse,Medical direction billed improperly,MB-PROF-ANES-DIR-SURG-v1,PROF,ANES-DIR,SURG,Anesthesia supervised by anesthesiologist but performed by resident.,Add medical direction code.,Charge full direction fee regardless of supervision level.
21,Outpatient Facility Fee Abuse,Facility fee added to clinic visit,MB-SITE-FAC-FEE-OP-v1,SITE,FAC-FEE,OP,Routine outpatient clinic visit.,Add facility fee CPT/revenue code.,List facility fee on line item.
22,Place-of-Service Inflation,Hospital POS used for routine care,MB-SITE-POS-CLIN-v1,SITE,POS,CLIN,Telehealth follow-up incorrectly coded as in-clinic.,Change POS code to hospital outpatient.,Bill higher hospital facility fee.
23,J-Code Markup Abuse,Injectable drugs billed far above cost,MB-PHRX-JCODE-PHARM-v1,PHRX,JCODE,PHARM,IV chemotherapy administered.,Record J-code for drug administered.,Multiply unit price far above acquisition cost.
24,Oral Med Inpatient Pricing,Common oral meds billed at IP rates,MB-PHRX-ORAL-MED-IP-v1,PHRX,ORAL-MED,IP,Inpatient oral antibiotics.,List inpatient drug CPT/HCPCS.,Charge at inpatient acquisition rate (inflated).
25,No Self-Pay Discount,Full chargemaster pricing applied,MB-CHRG-NO-DISC-IP-v1,CHRG,NO-DISC,IP,Patient paying cash.,Standard CPTs applied.,Do not apply self-pay discount; charge full list price.
26,Cash-Pay Rate Inversion,Self-pay charged more than insurers,MB-CHRG-CASH-INV-IP-v1,CHRG,CASH-INV,IP,Self-pay patient; negotiated insurance rate lower.,Standard codes applied.,Charge full list price higher than insurer would pay.
27,No Surprises Act Violation,OON ancillary billing in protected care,MB-COMP-NSA-ER-v1,COMP,NSA,ER,Out-of-network imaging in emergency.,CPTs for imaging.,Patient billed OON rate; NSA protections ignored.
28,GFE Overrun,Final bill exceeds GFE by >$400,MB-COMP-GFE400-OP-v1,COMP,GFE400,OP,Patient received GFE $500 for knee MRI; actual $900.,CPTs same as GFE.,Charge excess over GFE.
29,Revenue Code Misclassification,Incorrect revenue code inflates charges,MB-CODE-REV-CODE-IP-v1,CODE,REV-CODE,IP,Infusion administered in outpatient clinic.,Wrong revenue code applied.,Higher revenue code applied to inflate cost.
30,Preventive → Diagnostic Misbilling,Preventive care billed as diagnostic,MB-CODE-PREV-DX-OP-v1,CODE,PREV-DX,OP,Annual wellness visit performed; preventive documented.,CPT changed to diagnostic code.,Charge full diagnostic CPT price.
31,Length-of-Stay Padding,Extra inpatient days without services,MB-CCSI-LOS-IP-v1,CCSI,LOS,IP,Patient admitted 2 nights for mild pneumonia.,Log 4 nights.,Apply extra daily room/board charges.
32,Supply Kit Double Billing,Kit billed plus individual components,MB-FRAG-KIT-DUP-SURG-v1,FRAG,KIT-DUP,SURG,Wound kit used for dressing change.,Enter kit CPT and each supply CPT individually.,Charge both kit and components.
33,Tech / Prof Duplicate Imaging,Both components billed redundantly,MB-DUPL-TECH-PROF-RAD-v1,DUPL,TECH-PROF,RAD,X-ray read by radiologist; technical component billed twice.,Include both tech and prof CPTs redundantly.,Charge both line items.
34,Max Observation Edge Case,Observation billed at upper limit,MB-TIME-OBS-EDGE-OBS-v1,TIME,OBS-EDGE,OBS,Patient observed 23 hours for mild dehydration.,Record max allowed observation hours.,Apply max observation charge.
35,Disposable Device Markup,Single-use device billed at extreme rate,MB-PHRX-DEVICE-IP-v1,PHRX,DEVICE,IP,Single-use orthopedic device administered.,CPT for device applied.,Charge device at extreme unit price above acquisition cost.
